ID,ElementOrFlow,STRIDE,Threat,Damage,Reproducibility,Exploitability,AffectedUsers,Discoverability,DREAD,Rating,Mitigations,OWASP
T18,S3 receipts,Tampering,Attacker overwrites receipt objects or injects malicious content,7,6,6,7,6,6.4,High,"S3 object versioning; KMS; IAM least privilege; content-type validation","A08 Software or Data Integrity Failures"
T19,S3 receipts,Repudiation,Receipt objects are deleted without trace,6,6,5,7,5,5.8,Medium,"Object lock; versioning; CloudTrail data events; lifecycle approvals","A09 Security Logging and Alerting Failures"
T20,API to payment provider,Spoofing,Forged payment webhook marks unpaid orders as paid,10,8,8,8,8,8.4,Critical,"Webhook signatures; timestamp window; nonce replay cache","A07 Authentication Failures; A08 Software or Data Integrity Failures"
T21,API to payment provider,Tampering,Payment amount is changed between checkout and authorization,10,7,7,8,7,7.8,High,"Server-side amount calculation; idempotency keys; compare provider response","A06 Insecure Design; A08 Software or Data Integrity Failures"
T22,Payment callbacks,Repudiation,Payment dispute cannot be investigated because events are not logged,7,7,6,7,6,6.6,High,"Persist signed payment events; correlation IDs; SIEM alerts","A09 Security Logging and Alerting Failures"
T23,Admin operator to API,Spoofing,Phished admin credentials are used to change products or refunds,9,7,7,9,7,7.8,High,"Admin MFA; device posture; privileged access management","A07 Authentication Failures"
T24,Admin operator to API,Elevation of Privilege,Support user accesses owner-only admin functions,8,7,7,8,7,7.4,High,"RBAC/ABAC; separation of duties; authorization tests","A01 Broken Access Control"
T25,CI/CD to runtime,Tampering,Compromised dependency or container image is deployed,10,7,7,9,8,8.2,Critical,"SBOM; lockfiles; image signing; protected branches; scans","A03 Software Supply Chain Failures"
T26,CI/CD secrets,Information Disclosure,Build logs or image layers expose cloud credentials,9,6,7,8,7,7.4,High,"Secret manager; masked logs; no secrets in Docker layers; rotation","A04 Cryptographic Failures; A08 Software or Data Integrity Failures"
T27,CDN/WAF,Denial of Service,Bot traffic or scraping overwhelms edge and origin,7,9,8,8,8,8.0,Critical,"WAF rules; bot detection; per-IP/user limits; CDN caching","A02 Security Misconfiguration"
T28,CDN/WAF,Information Disclosure,Cache key mistake serves one customer response to another,9,6,6,8,6,7.0,High,"Do not cache authenticated API responses; cache-control tests","A02 Security Misconfiguration"
T29,REST API errors,Information Disclosure,Stack traces reveal SQL structure secrets or internal hosts,7,8,6,7,6,6.8,High,"Generic errors; centralized exception mapping; secret redaction","A10 Server-Side Request Forgery and Error Handling Risks"
T30,Configuration,Information Disclosure,Default credentials are reused in production,9,7,8,8,8,8.0,Critical,"Environment separation; secret scanning; deployment policy checks","A02 Security Misconfiguration"
T31,Configuration,Tampering,Overpermissive IAM role allows API to delete buckets or databases,9,6,6,8,7,7.2,High,"Least privilege IAM; permission boundaries; access reviews","A01 Broken Access Control; A02 Security Misconfiguration"
T32,Observability,Information Disclosure,Logs contain emails tokens or payment metadata,8,6,6,7,6,6.6,High,"Log redaction; data classification; least-privilege log access","A04 Cryptographic Failures; A09 Security Logging and Alerting Failures"
T33,Logging pipeline,Repudiation,Admin product/refund changes lack immutable audit trail,7,7,6,8,6,6.8,High,"Admin audit events; tamper-resistant storage; alert on privileged actions","A09 Security Logging and Alerting Failures"
T34,Infrastructure,Elevation of Privilege,Container breakout or exposed Docker socket compromises host,10,5,6,9,6,7.2,High,"No Docker socket mounts; rootless containers; runtime policies","A02 Security Misconfiguration"
T35,Message Queue,Tampering,Message body is modified before processing,8,7,7,8,7,7.4,High,"Message signatures; schema validation; producer identity","A08 Software and Data Integrity Failures"
T36,Message Queue,Denial of Service,Message flood blocks consumers and delays critical work,7,8,7,8,7,7.4,High,"Consumer autoscaling; quotas; backpressure; dead-letter queues","A06 Insecure Design"
